p,ford,fI,fII
1494049,1176,141,55
1494481,1086,111,70
1495321,864,84,60
1495369,888,104,44
1495489,1212,133,69
1495561,672,82,30
1496569,1254,136,73
1497049,798,93,40
1497721,1008,110,58
1497841,816,93,43
1498009,1296,155,61
1498561,804,89,45
1498729,834,92,47
1498921,1422,166,71
1499521,660,68,42
1499569,1146,134,57
1500241,984,101,63
1500409,786,86,45
1500529,1206,147,54
1500769,714,82,37
1501081,810,95,40
1501369,954,119,40
1501441,1002,118,49
1501921,810,84,51
1502041,1374,151,78
1502209,924,105,49
1502929,1098,128,55
1503049,1332,157,65
1503721,936,107,49
1503961,1236,142,64
1504609,1182,128,69
1504801,606,67,34
1504969,1308,146,72
1506121,1248,144,64
1506649,714,75,44
1507321,1134,121,68
1507921,1296,151,65
1508929,906,107,44
1509841,1176,134,62
1510321,1128,126,62
1510489,1116,125,61
1510681,1038,113,60
1511329,1254,130,79
1511449,948,93,65
1511689,798,90,43
1512169,1290,146,69
1512289,960,118,42
1512361,1296,140,76
1512961,1164,132,62
1514209,972,109,53
1515049,1164,125,69
1515721,786,85,46
1516369,1266,149,62
1517161,1086,123,58
1517209,882,99,48
1517401,1104,123,61
1517569,888,94,54
1517881,798,74,59
1518001,702,77,40
1519561,1266,148,63
1519729,996,107,59
1520401,678,82,31
1520689,864,92,52
1521241,1110,126,59
1521361,1152,129,63
1521769,1428,167,71
1522201,1206,143,58
1522249,720,89,31
1522369,1452,159,83
1523089,804,88,46
1523281,942,103,54
1525561,924,104,50
1525609,1254,148,61
1525729,1038,111,62
1525969,1014,109,60
1526401,1116,125,61
1526449,972,103,59
1526641,894,105,44
1527121,1416,172,64
1527289,954,108,51
1528321,1086,117,64
1529089,726,80,41
1529761,942,104,53
1530601,1380,158,72
1531681,1272,132,80
1532161,954,113,46
1532449,972,112,50
1533841,714,72,47
1534969,1050,118,57
1535041,990,105,60
1535689,774,88,41
1536049,1236,138,68
1536649,942,108,49
1536889,894,102,47
1537369,1248,149,59
1537489,1476,177,69
1537561,1104,117,67
1537729,1266,144,67
1538569,1086,117,64
1539049,1086,130,51
1539721,1068,114,64
1540009,930,102,53
1540249,1056,129,47
1540681,978,116,47
1540849,1110,128,57
1541689,1542,171,86
1542361,966,112,49
1543081,1044,101,73
1543441,828,92,46
1544209,1362,151,76
1544449,978,104,59
1544929,1002,101,66
1545121,972,105,57
1545769,882,96,51
1546729,1200,127,73
1546969,1242,143,64
1547449,1266,148,63
1547641,1020,114,56
1548121,858,90,53
1548409,756,84,42
1548961,1098,132,51
1549081,906,96,55
1549129,966,95,66
1549321,690,77,38
1549489,1476,176,70
1549921,1332,144,78
1550161,1344,157,67
1551001,864,100,44
1551601,1596,190,76
1553281,1014,121,48
1553329,1194,135,64
1554169,1332,167,55
1554529,942,97,60
1554841,744,85,39
1555129,840,108,32
1555969,1140,136,54
1556641,924,105,49
1556881,852,107,35
1557481,948,108,50
1557649,1080,121,59
1557889,858,95,48
1558201,1056,119,57
1558321,1170,139,56
1558561,852,103,39
1558729,1020,110,60
1559161,1020,117,53
1559209,1332,162,60
1559329,1392,149,83
1560049,846,99,42
1560241,780,93,37
1560409,1320,143,77
1562089,1374,144,85
1563409,816,92,44
1564081,912,105,47
1564369,792,93,39
1564921,900,111,39
1565041,744,85,39
1565209,1086,120,61
1565281,744,92,32
1565929,870,99,46
1566049,900,117,33
1566121,1368,161,67
1566289,1062,112,65
1566769,846,91,50
1566889,870,97,48
1567729,1092,128,54
1568449,888,99,49
1569121,930,113,42
1569241,1458,167,76
1569289,1134,126,63
1569649,966,108,53
1569961,1206,137,64
1570081,1260,152,58
1571329,936,104,52
1571761,948,101,57
1571929,1134,141,48
1572841,1206,140,61
1573009,762,82,45
1574161,966,114,47
1575289,930,104,51
1575961,954,118,41
1576849,1254,137,72
1577689,924,99,55
1578361,1344,146,78
1579321,900,101,49
1579561,1158,124,69
1580041,1092,130,52
1581169,1320,151,69
1581721,948,109,49
1581889,744,97,27
1582081,1152,130,62
1582729,1164,141,53
1583089,1122,117,70
1583521,762,83,44
1583689,858,88,55
1583761,840,89,51
1583929,984,111,53
1584409,1080,120,60
1585201,810,97,38
1585249,954,110,49
1586041,966,112,49
1586089,1062,120,57
1586209,774,80,49
1586881,870,97,48
1587121,960,110,50
1587961,672,80,32
1588729,1332,153,69
1588801,1068,115,63
1589281,780,92,38
1589569,942,109,48
1589641,852,89,53
1590241,954,105,54
1590481,930,110,45
1590961,1152,116,76
1591921,984,115,49
1591969,978,105,58
1592329,1674,197,82
1592761,990,113,52
1593481,1464,169,75
1593841,1224,134,70
1594849,1200,131,69
1596121,1068,128,50
1596169,888,102,46
1596961,858,100,43
1597129,1242,152,55
1597369,942,96,61
1597801,1200,136,64
1597969,1122,131,56
1598209,1404,165,69
1598521,1080,129,51
1598689,840,94,46
1599361,774,77,52
1599529,1158,130,63
1599889,846,100,41
1600201,990,113,52
1600321,1128,140,48
1601161,756,88,38
1601209,780,86,44
1601569,1320,151,69
1602169,1308,143,75
1602241,870,84,61
1602721,924,101,53
1603009,942,101,56
1603081,828,97,41
1603249,1350,155,70
1603681,942,110,47
1604521,1068,115,63
1604929,972,115,47
1606081,828,94,44
1606201,990,94,71
1606249,1194,138,61
1606921,1002,99,68
1607449,1368,160,68
1607929,876,96,50
1608769,1254,146,63
1609561,1428,150,88
1609801,1104,134,50
